,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
119032,STATE - TAMIL NADU,Manufacture of wines,23,17,6,14,8,6,9,9,0,6,6,0,0,0,0,6,6,0,29,2.833333333333333,22.65423406060606,82.20022463636361
119033,STATE - TAMIL NADU,Manufacture of malt liquors and malt,408,165,243,317,96,221,91,69,22,67,28,39,58,22,36,9,6,3,475,0.6790123456790124,22.65423406060606,82.20022463636361
119034,STATE - TAMIL NADU,Manufacture of soft drinks; production of mineral waters and other,2167,1722,445,1061,824,237,1106,898,208,219,143,76,159,99,60,60,44,16,2386,3.8696629213483145,22.65423406060606,82.20022463636361
119035,STATE - TAMIL NADU,Preparation and spinning of textile fibres,40442,22658,17784,25515,13806,11709,14927,8852,6075,6347,2939,3408,4807,2124,2683,1540,815,725,46789,1.2740665766981556,22.65423406060606,82.20022463636361
119036,STATE - TAMIL NADU,Weaving of textiles,37951,24220,13731,19914,12817,7097,18037,11403,6634,2507,1214,1293,1417,722,695,1090,492,598,40458,1.7638919233850412,22.65423406060606,82.20022463636361
119037,STATE - TAMIL NADU,Finishing of textiles,6171,4277,1894,2758,1828,930,3413,2449,964,554,353,201,317,212,105,237,141,96,6725,2.25818373812038,22.65423406060606,82.20022463636361
119038,STATE - TAMIL NADU,Manufacture of other textiles,14131,7912,6219,8046,4473,3573,6085,3439,2646,2252,1205,1047,1111,560,551,1141,645,496,16383,1.272230262100016,22.65423406060606,82.20022463636361
119039,STATE - TAMIL NADU,Manufacture of knitted and crocheted fabrics,4619,3002,1617,3191,2124,1067,1428,878,550,461,281,180,333,203,130,128,78,50,5080,1.8565244279529995,22.65423406060606,82.20022463636361
119040,STATE - TAMIL NADU,"Manufacture of made-up textile articles, except apparel",1211,776,435,511,340,171,700,436,264,158,102,56,41,24,17,117,78,39,1369,1.7839080459770116,22.65423406060606,82.20022463636361
119041,STATE - TAMIL NADU,Manufacture of carpets and rugs,761,378,383,459,191,268,302,187,115,122,61,61,39,22,17,83,39,44,883,0.9869451697127938,22.65423406060606,82.20022463636361
