,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
20415,STATE - ARUNACHAL PRADESH,Manufacture of dairy products,156,109,47,116,83,33,40,26,14,65,26,39,54,18,36,11,8,3,221,2.3191489361702127,22.65423406060606,82.20022463636361
20416,STATE - ARUNACHAL PRADESH,"Manufacture of grain mill products, starches and starch products",442,264,178,393,223,170,49,41,8,125,49,76,112,42,70,13,7,6,567,1.4831460674157304,22.65423406060606,82.20022463636361
20417,STATE - ARUNACHAL PRADESH,Manufacture of grain mill products,438,262,176,390,222,168,48,40,8,122,47,75,110,41,69,12,6,6,560,1.4886363636363635,22.65423406060606,82.20022463636361
20418,STATE - ARUNACHAL PRADESH,Manufacture of starches and starch products,4,2,2,3,1,2,1,1,0,3,2,1,2,1,1,1,1,0,7,1,22.65423406060606,82.20022463636361
20419,STATE - ARUNACHAL PRADESH,Manufacture of other food products,597,446,151,376,277,99,221,169,52,106,60,46,51,24,27,55,36,19,703,2.9536423841059603,22.65423406060606,82.20022463636361
20420,STATE - ARUNACHAL PRADESH,Manufacture of bakery products,133,121,12,52,45,7,81,76,5,12,9,3,1,0,1,11,9,2,145,10.083333333333334,22.65423406060606,82.20022463636361
20421,STATE - ARUNACHAL PRADESH,Manufacture of sugar,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,2,0,22.65423406060606,82.20022463636361
20422,STATE - ARUNACHAL PRADESH,"Manufacture of cocoa, chocolate and sugar confectionery",13,13,0,7,7,0,6,6,0,0,0,0,0,0,0,0,0,0,13,13,22.65423406060606,82.20022463636361
20423,STATE - ARUNACHAL PRADESH,"Manufacture of macaroni, noodles, couscous and similar farinaceous",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22.65423406060606,82.20022463636361
20424,STATE - ARUNACHAL PRADESH,Manufacture of prepared meals and dishes,157,107,50,75,52,23,82,55,27,52,28,24,33,16,17,19,12,7,209,2.14,22.65423406060606,82.20022463636361
20425,STATE - ARUNACHAL PRADESH,Manufacture of other food products n.e.c.,292,204,88,240,172,68,52,32,20,41,23,18,17,8,9,24,15,9,333,2.3181818181818183,22.65423406060606,82.20022463636361
20426,STATE - ARUNACHAL PRADESH,Manufacture of beverages,36,21,15,8,2,6,28,19,9,10,3,7,4,3,1,6,0,6,46,1.4,22.65423406060606,82.20022463636361
20427,STATE - ARUNACHAL PRADESH,Manufacture of beverages,36,21,15,8,2,6,28,19,9,10,3,7,4,3,1,6,0,6,46,1.4,22.65423406060606,82.20022463636361
20428,STATE - ARUNACHAL PRADESH,"Distilling, rectifying and blending of spirits; ethyl alcohol production",20,8,12,6,2,4,14,6,8,4,2,2,2,2,0,2,0,2,24,0.6666666666666666,22.65423406060606,82.20022463636361
20429,STATE - ARUNACHAL PRADESH,Manufacture of wines,2,0,2,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,4,0,22.65423406060606,82.20022463636361
20430,STATE - ARUNACHAL PRADESH,Manufacture of malt liquors and malt,3,3,0,0,0,0,3,3,0,2,0,2,0,0,0,2,0,2,5,3,22.65423406060606,82.20022463636361
20431,STATE - ARUNACHAL PRADESH,Manufacture of soft drinks; production of mineral waters and other,11,10,1,0,0,0,11,10,1,2,1,1,2,1,1,0,0,0,13,10,22.65423406060606,82.20022463636361
20432,STATE - ARUNACHAL PRADESH,Manufacture of tobacco products,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,2,1,22.65423406060606,82.20022463636361
20433,STATE - ARUNACHAL PRADESH,Manufacture of tobacco products,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,2,1,22.65423406060606,82.20022463636361
20434,STATE - ARUNACHAL PRADESH,Manufacture of tobacco products,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,2,1,22.65423406060606,82.20022463636361
20435,STATE - ARUNACHAL PRADESH,Manufacture of textiles,775,364,411,446,182,264,329,182,147,478,126,352,340,61,279,138,65,73,1253,0.8856447688564477,22.65423406060606,82.20022463636361
20436,STATE - ARUNACHAL PRADESH,"Spinning, weaving and finishing of textiles",621,289,332,367,160,207,254,129,125,431,117,314,305,53,252,126,64,62,1052,0.8704819277108434,22.65423406060606,82.20022463636361
20437,STATE - ARUNACHAL PRADESH,Preparation and spinning of textile fibres,312,226,86,188,124,64,124,102,22,162,99,63,71,36,35,91,63,28,474,2.627906976744186,22.65423406060606,82.20022463636361
20438,STATE - ARUNACHAL PRADESH,Weaving of textiles,260,46,214,151,28,123,109,18,91,229,15,214,194,14,180,35,1,34,489,0.2149532710280373,22.65423406060606,82.20022463636361
20439,STATE - ARUNACHAL PRADESH,Finishing of textiles,49,17,32,28,8,20,21,9,12,40,3,37,40,3,37,0,0,0,89,0.53125,22.65423406060606,82.20022463636361
20440,STATE - ARUNACHAL PRADESH,Manufacture of other textiles,154,75,79,79,22,57,75,53,22,47,9,38,35,8,27,12,1,11,201,0.9493670886075948,22.65423406060606,82.20022463636361
20441,STATE - ARUNACHAL PRADESH,Manufacture of knitted and crocheted fabrics,25,1,24,21,0,21,4,1,3,4,0,4,1,0,1,3,0,3,29,0.0416666666666666,22.65423406060606,82.20022463636361
20442,STATE - ARUNACHAL PRADESH,"Manufacture of made-up textile articles, except apparel",62,51,11,16,10,6,46,41,5,3,1,2,3,1,2,0,0,0,65,4.636363636363637,22.65423406060606,82.20022463636361
20443,STATE - ARUNACHAL PRADESH,Manufacture of carpets and rugs,40,13,27,27,8,19,13,5,8,24,5,19,18,4,14,6,1,5,64,0.4814814814814814,22.65423406060606,82.20022463636361
20444,STATE - ARUNACHAL PRADESH,"Manufacture of cordage, rope, twine and netting",2,1,1,2,1,1,0,0,0,4,3,1,4,3,1,0,0,0,6,1,22.65423406060606,82.20022463636361
20445,STATE - ARUNACHAL PRADESH,Manufacture of other textiles n.e.c.,25,9,16,13,3,10,12,6,6,12,0,12,9,0,9,3,0,3,37,0.5625,22.65423406060606,82.20022463636361
20446,STATE - ARUNACHAL PRADESH,Manufacture of wearing apparel,877,778,99,332,286,46,545,492,53,117,63,54,76,40,36,41,23,18,994,7.858585858585859,22.65423406060606,82.20022463636361
20447,STATE - ARUNACHAL PRADESH,"Manufacture of wearing apparel, except fur apparel",867,771,96,326,281,45,541,490,51,99,62,37,60,39,21,39,23,16,966,8.03125,22.65423406060606,82.20022463636361
20448,STATE - ARUNACHAL PRADESH,"Manufacture of wearing apparel, except fur apparel",867,771,96,326,281,45,541,490,51,99,62,37,60,39,21,39,23,16,966,8.03125,22.65423406060606,82.20022463636361
20449,STATE - ARUNACHAL PRADESH,Manufacture of articles of fur,5,4,1,4,4,0,1,0,1,4,1,3,2,1,1,2,0,2,9,4,22.65423406060606,82.20022463636361
20450,STATE - ARUNACHAL PRADESH,Manufacture of articles of fur,5,4,1,4,4,0,1,0,1,4,1,3,2,1,1,2,0,2,9,4,22.65423406060606,82.20022463636361
20451,STATE - ARUNACHAL PRADESH,Manufacture of knitted and crocheted apparel,5,3,2,2,1,1,3,2,1,14,0,14,14,0,14,0,0,0,19,1.5,22.65423406060606,82.20022463636361
20452,STATE - ARUNACHAL PRADESH,Manufacture of knitted and crocheted apparel,5,3,2,2,1,1,3,2,1,14,0,14,14,0,14,0,0,0,19,1.5,22.65423406060606,82.20022463636361
20453,STATE - ARUNACHAL PRADESH,Manufacture of leather and related products,59,26,33,25,3,22,34,23,11,30,5,25,27,3,24,3,2,1,89,0.7878787878787878,22.65423406060606,82.20022463636361
20454,STATE - ARUNACHAL PRADESH,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery",16,5,11,11,0,11,5,5,0,10,1,9,8,0,8,2,1,1,26,0.4545454545454545,22.65423406060606,82.20022463636361
20455,STATE - ARUNACHAL PRADESH,Tanning and dressing of leather; dressing and dyeing of fur,9,1,8,8,0,8,1,1,0,8,0,8,8,0,8,0,0,0,17,0.125,22.65423406060606,82.20022463636361
